정류장번호,정류장명
DGB7011024000,웃갈미마을앞
DGB7011024100,웃갈미마을건너
DGB7011024200,진정마을1
DGB7011024300,진정마을2
DGB7011024400,서당마을앞
DGB7011024500,서당마을건너
DGB7011024600,방짜유기박물관앞
DGB7011024700,방짜유기박물관건너
DGB7011024800,대구학생수련관입구앞
DGB7011024900,대구학생수련관입구건너
DGB7011025000,동화교1
DGB7011025100,동화교2
DGB7011025200,동화사입구앞
DGB7011025300,동화시설집단지구(종점)1
DGB7011025400,사복동입구교차로건너
DGB7011025500,사복동입구교차로
DGB7011025800,신천역(3번출구)
DGB7011025900,아양교3
DGB7011026000,아양교4
DGB7011026100,용계삼거리3
DGB7011026200,파계교
DGB7011026300,공산댐건너
DGB7011026400,도학동1
DGB7011026500,도학동
DGB7011026600,도평동입구1
DGB7011026700,도평동입구2
DGB7011026800,도동청구타운건너
DGB7011026900,도동청구타운앞
DGB7011027300,평광종점
DGB7011027400,농협동촌지점
DGB7011027500,방촌건널목
DGB7011028100,신기역(화성타운앞)
DGB7011028200,신기역(화성타운건너)
DGB7011028300,안심주공2단지앞
DGB7011028400,안심주공1단지앞
DGB7011028500,강변동서마을건너
DGB7011028600,화랑교1
DGB7011028700,화랑교2
DGB7011029000,불로화훼단지건너
DGB7011029100,내동건너
DGB7011029200,동화사입구건너
DGB7011029600,매여동(동구)저탄장
DGB7011029800,부동
DGB7011029900,부동삼거리
DGB7011030000,부동(종점)
DGB7011030100,해안초등학교뒤
DGB7011030200,경주최씨종가1
DGB7011030300,경주최씨종가(종점)
DGB7011030400,부동농협
DGB7011030600,방촌1동
DGB7011030700,둔산동
DGB7011030800,공군기지관사입구
DGB7011030900,측백나무숲건너
DGB7011031000,측백나무숲앞
DGB7011031100,섬뜸마을
DGB7011031200,평광마을회관
DGB7011031300,태왕그린힐즈건너
DGB7011031400,태왕그린힐즈앞2
DGB7011031500,지묘동1
DGB7011031600,지묘동2
DGB7011031700,송정동2
DGB7011031800,송정동1
DGB7011032000,이마트반야월점건너
DGB7011032100,이마트반야월점앞
DGB7011032200,송정삼거리1
DGB7011032300,금강동
DGB7011032400,강동중·고등학교
DGB7011032500,강동중·고등학교건너
DGB3690002590,가산2리아래신당
DGB3690002600,송학가든입구
DGB3690002610,용수가든
DGB3690002620,용수교회
DGB3690002630,용수리입구
DGB3690002640,용수리 묵은터건너
DGB3690002650,응추리 노인회관건너
DGB3690002660,응추리 음지마을입구
DGB3690002670,칠곡 학생야영장건너
DGB3690002680,칠곡보건너(창마)
DGB3690002690,포남 3리
DGB3690002700,포남1리(구)석적읍행정복지센터
DGB3690002710,포남2리입구
DGB3690002720,진골 입구
DGB3690002730,중마입구
DGB3690002750,관호3리입구
DGB3690003060,학명동
DGB3690003070,학명리
DGB3690003080,학명리(삭막마을입구)
DGB3690003090,학명리(등골마을입구)
DGB3690003140,가실입구삼거리
DGB3690003150,낙산초등학교
DGB3690003160,칠곡군 상수도사업소
DGB3690003170,약목고등학교건너
DGB3690003180,무림2리입구
DGB3690003200,성곡건너
DGB3690003210,성곡리(뭇골)건너
DGB3690003220,진목정입구
DGB3690003230,천평
DGB3690003240,가산면행정복지센터
DGB3690003250,금화리
DGB3690003300,중리부영아파트(왜관방향)
DGB3690003470,화성철강건너
DGB3690003480,석우1리 건너
DGB3690003510,낙산리입구(돌고개)
DGB3690003520,낙산가라골
DGB3690003530,현대공원건너
DGB3690003540,연화
DGB3690003570,가정건너
DGB3690003580,널동먹골건너
DGB3690003590,덕천건너
DGB3690003600,미실영청
DGB3690003610,상납실입구
DGB3690003620,옥포건너
DGB3690003630,하납실건너
DGB3690003640,기곡리
DGB3690003650,금호리자원기
DGB3690003660,금호리불동마을입구
DGB3690003670,금호리하신기
DGB3690003680,물류단지입구
DGB3690003690,태영
DGB3690003700,연호2리(칠곡농장)
DGB3690003710,신동재입구삼거리
DGB3690003720,이언식당건너
DGB3690003730,구장터
DGB3690003740,신동초등학교
DGB3690003750,동명면우체국
DGB3690003790,근로복지회관
DGB3690003800,대구은행공단지점건너
DGB3690003810,창성 지관
DGB3690003820,하이마트동부물류센터
DGB3690003830,한국토지공사
DGB3690003850,에스지 건너
DGB3690003860,금산리야대기건너
DGB3690004030,우방신천지타운 건너
DGB3690004040,남율강촌
DGB3690004100,신나무골
DGB3690004110,원곡 도당
DGB3690004120,완정건너
DGB3690004130,공단삼거리
DGB3690004140,삼청리입구
DGB3690004160,행정2리(물문)
DGB3690004170,죽전1리(강정)
DGB3690004200,관호5거리입구
DGB3690004220,복성4리
DGB3690004230,북삼로입구건너
DGB3690004260,강진삼거리건너
DGB3690004270,북삼현대아파트건너
DGB3690004290,약목건너
DGB3690004300,약목주유소건너
DGB3690004310,관호2리
DGB3690004320,관호초등학교건너
DGB3690004390,북중리건너
DGB3690004400,율1리입구
DGB3690004410,율리입구
DGB3690004440,늘푸른아파트
DGB3690004450,인평공원 앞
DGB3690004460,인평공원서편
DGB3690004470,북삼중학교
DGB3690004500,신2리내실건너
DGB3690004510,신동역
DGB3690004520,신동중학교건너
DGB3690004530,신동초등학교건너
DGB3690004550,동명면행정복지센터건너
DGB3690004730,에스케이주유소건너
DGB3690004740,금산리강창건너
DGB3690004770,3주공아파트
DGB3690004780,문화아파트
DGB3690004790,복지회관건너
DGB7011001500,팔공보성아파트건너
DGB7011001600,팔공보성아파트앞
DGB7011001700,대구중앙중고등학교건너
DGB7011001800,대구중앙중고등학교앞
DGB7011001900,청구고등학교앞
DGB7011002000,청구고등학교건너
DGB7011002100,신천LH아파트건너
DGB7011002200,신천LH아파트앞
DGB7011002300,신천역(2번출구)
DGB7011002400,역전시장앞
DGB7011002500,역전시장건너
DGB7011002600,신천3동행정복지센터건너
DGB7011002700,솔렌스힐앞
DGB7011002800,솔렌스힐건너
DGB7011002900,한국건강관리협회앞
DGB7011003000,신천3치안센터앞
DGB7011003100,신천3치안센터건너
DGB7011003200,신천초등학교앞
DGB7011003300,신천초등학교건너
DGB7011003400,화성파크드림이스트밸리아파트
DGB7011003500,동대구역센트럴시티자이아파트
DGB7011003600,신천역(5번출구)
DGB7011003700,신천역(4번출구)
DGB7011003800,동대구동화아이위시아파트건너
DGB7011003900,동대구동화아이위시아파트앞
DGB7011004000,동대구역복합환승센터앞
DGB7011004100,동대구역복합환승센터건너
DGB7011004200,대구지방법원등기국앞
DGB7011004300,대구지방법원등기국건너
DGB7011004400,청기와주유소건너
DGB7011004500,효목네거리3
DGB7011004600,CMB대구방송
DGB7011004700,구.동부정류장(메트로팔레스)
DGB7011004800,코오롱아파트
DGB7011004900,수성도서관앞
DGB7011005000,수성도서관건너
DGB7011005100,한전동대구지사건너
DGB7011005200,한전동대구지사
DGB7011005300,동구시장앞
DGB7011005400,동구시장건너
DGB7011005500,동구기억쉼터건너
DGB7011005600,동구기억쉼터앞
DGB7011005700,경북아파트앞(신천동)
DGB7011005800,경북아파트건너(신천동)
DGB7011005900,팔공정보문화센터건너
DGB7011006000,팔공정보문화센터앞
DGB7011006100,영남일보건너
DGB7011006200,영남일보앞
DGB7011006300,상공회의소건너
DGB7011006400,상공회의소앞
DGB7011006500,동부소방서건너
DGB7011006600,동부소방서앞
DGB7011006700,동대구역
DGB7011006800,동대구역건너
DGB7011006900,동대구역화성파크드림
DGB7011007000,동대구이안센트럴D아파트
DGB7011007200,KT동대구지사앞
DGB7011007300,KT동대구지사건너
DGB7011007400,신암4동행정복지센터앞
DGB7011007500,신암4동행정복지센터건너
DGB7011007600,동구청역(4번출구)
DGB7011007700,동구청역(3번출구)
DGB7011007800,산림조합중앙회건너
DGB7011007900,산림조합중앙회앞
DGB7011008000,동대구역지하도1
DGB7011008100,동대구역지하도2
DGB7011008200,큰고개오거리1
DGB1570000010,하산리
DGB1570000140,감문리
DGB1570000150,감문리 삼실
DGB1570000160,달서중고등학교
DGB1570000180,묘1리 파회
DGB1570000210,육신사입구
DGB1570000230,동곡네거리
DGB1570000240,하산리
DGB1570000260,대실역2번출구
DGB1570000370,감문리
DGB1570000400,묘1리 파회
DGB1570000410,묘2리
DGB1570000420,묘2리점마
DGB1570000430,문양3리 장귀미
DGB357000001,영천버스터미널앞
DGB357000002,성림한의원
DGB357000007,영천공설시장(완산동주민센터앞)
DGB357000008,SD웨딩컨벤션앞
DGB357000009,영천시청.영천축산농협건너
DGB357000010,-
DGB3570000100,사일온천입구(청통방향)
DGB357000011,영천고등학교앞
DGB357000012,영천고.문화아파트
DGB3570000200,사일온천입구(경산방향)
DGB357000021,창신아파트앞
DGB357000022,전경부대앞
DGB357000023,한신더휴영천퍼스트.세왕금속
DGB357000024,대일빌라입구
DGB357000025,청호아파트앞
DGB3570000300,천일주유소
DGB357000038,경주세무서영천지서앞
DGB357000039,영천시청.영천축산농협앞
DGB3570000500,천일주유소 건너
DGB357000059,청호아파트건너
DGB357000063,대일빌라건너
DGB357000064,망정휴먼시아5단지아파트
DGB357000065,전경부대건너
DGB357000066,창신아파트건너(우로지앞)
DGB357000071,영천공설시장(완산동주민센터건너)
DGB357000076,성림한의원건너
DGB357000077,영풍한의원
DGB357000078,영천버스터미널건너
DGB357000079,경주세무서영천지서건너
DGB3570000800,송천리(경산방향)
DGB357000087,영천농협본점
DGB3570000900,송천리(청통방향)
DGB357000098,대구은행건너
DGB357000099,영천공설시장(영천신협앞)
